Node ID,tx,ty,tz,qx,qy,qz,qw
259,-0.152512,0.285876,0.76885,-0.0488445,-0.0103527,0.997096,-0.0574946
260,-0.16491,0.284927,0.766957,-0.0460058,-0.0108661,0.997268,-0.0567621
261,-0.176536,0.284542,0.766173,-0.0442032,-0.00840274,0.997468,-0.0550797
262,-0.187464,0.285236,0.765102,-0.0444667,-0.00414715,0.99758,-0.0532845
263,-0.197376,0.286525,0.763322,-0.0452774,-0.00281071,0.99765,-0.0513411
264,-0.207308,0.288487,0.762822,-0.0460639,-0.00274825,0.997677,-0.0501027
265,-0.215812,0.289882,0.760163,-0.0430351,-0.00165794,0.997935,-0.0476592
266,-0.225224,0.291726,0.760928,-0.0448859,-0.00228551,0.99791,-0.0464281
267,-0.2341,0.29312,0.759716,-0.0458727,-0.000296284,0.997905,-0.0456312
268,-0.243177,0.294518,0.759142,-0.0443669,-0.00298087,0.997955,-0.0459127
269,-0.252889,0.296306,0.759555,-0.044718,-0.00283439,0.997909,-0.0465922
270,-0.261929,0.298479,0.757787,-0.0435191,-0.00230913,0.99795,-0.046864
271,-0.271954,0.301847,0.758694,-0.0468264,-0.00436651,0.997688,-0.0490524
272,-0.279591,0.303511,0.75567,-0.047541,-0.00490254,0.997681,-0.0484593
273,-0.286382,0.305282,0.751058,-0.0478891,-0.00457019,0.997671,-0.0483487
274,-0.29394,0.30742,0.749956,-0.0537935,-0.00592136,0.997383,-0.0479349
275,-0.300608,0.309419,0.74928,-0.0598394,-0.00641637,0.997078,-0.0470405
276,-0.305572,0.310404,0.746496,-0.0604627,-0.00799548,0.997107,-0.0453704
277,-0.311687,0.311913,0.745679,-0.0606981,-0.00843102,0.997202,-0.0428189
278,-0.317806,0.313622,0.743468,-0.0562672,-0.00938577,0.99752,-0.041223
279,-0.325433,0.315694,0.743262,-0.0564843,-0.00981058,0.997529,-0.0405987
280,-0.333039,0.317076,0.741262,-0.0538746,-0.00981048,0.997698,-0.0400028
281,-0.341546,0.318777,0.73891,-0.0502729,-0.00866817,0.997887,-0.0402394
282,-0.350534,0.320795,0.73574,-0.0482499,-0.00176855,0.998025,-0.0401959
