Node ID,tx,ty,tz,qx,qy,qz,qw
88,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
89,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
90,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
91,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
92,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
93,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
94,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
95,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
96,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
97,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
98,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
99,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
100,-0.5139840000,0.4845980000,0.7903000000,-0.4927970000,0.2718670000,0.8252020000,-0.0477718000
101,-0.4972800000,0.4824330000,0.8045070000,-0.0398323000,0.0279386000,0.9978470000,-0.0439743000
102,-0.4886360000,0.4827760000,0.8194480000,-0.0621623000,0.0172991000,0.9969540000,-0.0438179000
103,-0.4737630000,0.4791360000,0.7907420000,-0.5161680000,0.2267860000,0.8240030000,-0.0562043000
104,-0.4666590000,0.4790850000,0.8285020000,-0.0702933000,0.0086542100,0.9961440000,-0.0517736000
105,-0.4469850000,0.4734550000,0.8213180000,-0.0736710000,0.0151674000,0.9959240000,-0.0497762000
106,-0.4142120000,0.4616230000,0.7976390000,-0.0414895000,0.0042599900,0.9981780000,-0.0435941000
